"Titre de tracé : ird-1"
"#","Date","Heure, GMT-03:00","Temp., °C (LGR S/N: 21337714, SEN S/N: 21337714)","Conductance spécifique, μS/cm (LGR S/N: 21337714)","Salinité, ppt (LGR S/N: 21337714)"
1,12/05/22,10:15:35,35.22,0.0,0.0123
2,12/05/22,10:20:35,35.39,0.0,0.0123
3,12/05/22,10:25:35,34.07,0.0,0.0123
4,12/05/22,10:30:35,33.03,0.0,0.0123
5,12/05/22,10:35:35,32.29,0.0,0.0123
6,12/05/22,10:40:35,31.66,0.0,0.0123
7,12/05/22,10:45:35,31.27,0.0,0.0123
8,12/05/22,10:50:35,31.03,0.0,0.0123
9,12/05/22,10:55:35,31.01,0.0,0.0123
10,12/05/22,11:00:35,31.18,0.0,0.0123
11,12/05/22,11:05:35,31.41,0.0,0.0123
12,12/05/22,11:10:35,31.77,0.0,0.0123
13,12/05/22,11:15:35,31.91,0.0,0.0123
14,12/05/22,11:20:35,31.92,0.0,0.0123
15,12/05/22,11:25:35,31.93,0.0,0.0123
16,12/05/22,11:30:35,31.89,0.0,0.0123
17,12/05/22,11:35:35,31.70,0.0,0.0123
18,12/05/22,11:40:35,31.77,0.0,0.0123
19,12/05/22,11:45:35,31.87,0.0,0.0123
20,12/05/22,11:50:35,31.92,0.0,0.0123
21,12/05/22,11:55:35,31.96,0.0,0.0123
22,12/05/22,12:00:35,32.02,0.0,0.0123
23,12/05/22,12:05:35,32.07,0.0,0.0123
24,12/05/22,12:10:35,32.05,0.0,0.0123
25,12/05/22,12:15:35,32.05,0.0,0.0123
26,12/05/22,12:20:35,32.05,0.0,0.0123
27,12/05/22,12:25:35,32.30,0.0,0.0123
28,12/05/22,12:30:35,32.61,0.0,0.0123
29,12/05/22,12:35:35,32.73,0.0,0.0123
30,12/05/22,12:40:35,32.71,0.0,0.0123
31,12/05/22,12:45:35,32.53,0.0,0.0123
32,12/05/22,12:50:35,32.42,0.0,0.0123
33,12/05/22,12:55:35,32.23,0.0,0.0123
