"Titre de tracé : 21330399"
"#","Date","Heure, GMT-03:00","Temp., °C (LGR S/N: 21330399, SEN S/N: 21330399)","Conductance spécifique, μS/cm (LGR S/N: 21330399)","Salinité, ppt (LGR S/N: 21330399)"
1,02/01/23,12:46:10,26.35,0.0,0.0123
2,02/01/23,12:51:10,26.58,0.0,0.0123
3,02/01/23,12:56:10,27.46,0.0,0.0123
4,02/01/23,13:01:10,28.10,0.0,0.0123
5,02/01/23,13:06:10,28.55,0.0,0.0123
6,02/01/23,13:11:10,28.74,0.0,0.0123
7,02/01/23,13:16:10,28.92,0.0,0.0123
8,02/01/23,13:21:10,29.01,0.0,0.0123
9,02/01/23,13:26:10,29.03,0.0,0.0123
10,02/01/23,13:31:10,31.43,9120.1,5.0968
11,02/01/23,13:36:10,32.46,14120.5,8.1660
12,02/01/23,13:41:10,32.46,13861.5,8.0040
13,02/01/23,13:46:10,32.16,14246.7,8.2450
14,02/01/23,13:51:10,32.03,14419.7,8.3535
15,02/01/23,13:56:10,31.60,14515.2,8.4134
16,02/01/23,14:01:10,31.38,14497.3,8.4022
17,02/01/23,14:06:10,31.27,11654.2,6.6364
18,02/01/23,14:11:10,31.14,10800.2,6.1137
19,02/01/23,14:16:10,31.32,14919.5,8.6675
20,02/01/23,14:21:10,31.25,15039.0,8.7427
21,02/01/23,14:26:10,31.38,15344.4,8.9353
22,02/01/23,14:31:10,31.40,15813.3,9.2317
23,02/01/23,14:36:10,31.26,16009.0,9.3557
24,02/01/23,14:41:10,31.28,15941.9,9.3131
25,02/01/23,14:46:10,31.28,15980.2,9.3374
26,02/01/23,14:51:10,31.26,16004.7,9.3529
27,02/01/23,14:56:10,30.94,15094.8,8.7779
28,02/01/23,15:01:10,31.00,14063.2,8.1302
29,02/01/23,15:06:10,31.35,14204.5,8.2186
30,02/01/23,15:11:10,31.94,16023.0,9.3645
31,02/01/23,15:16:10,32.32,15832.5,9.2438
32,02/01/23,15:21:10,32.98,15682.3,9.1488
33,02/01/23,15:26:10,32.83,15859.3,9.2608
34,02/01/23,15:31:10,32.68,14385.2,8.3318
35,02/01/23,15:36:10,32.69,13566.7,7.8201
36,02/01/23,15:41:10,33.12,15666.4,9.1387
37,02/01/23,15:46:10,32.60,15834.3,9.2450
38,02/01/23,15:51:10,32.08,15800.8,9.2238
39,02/01/23,15:56:10,31.41,15714.0,9.1688
40,02/01/23,16:01:10,30.90,15746.1,9.1891
41,02/01/23,16:06:10,30.48,15768.9,9.2036
42,02/01/23,16:11:10,30.14,15808.0,9.2283
43,02/01/23,16:16:10,29.89,15842.7,9.2503
44,02/01/23,16:21:10,29.68,15857.0,9.2594
45,02/01/23,16:26:10,29.47,15857.2,9.2595
46,02/01/23,16:31:10,29.30,15856.5,9.2590
47,02/01/23,16:36:10,29.14,15854.0,9.2574
48,02/01/23,16:41:10,28.99,15855.1,9.2581
49,02/01/23,16:46:10,28.81,15889.6,9.2800
50,02/01/23,16:51:10,28.73,15886.3,9.2779
51,02/01/23,16:56:10,28.60,15872.7,9.2693
52,02/01/23,17:01:10,28.42,15911.9,9.2941
53,02/01/23,17:06:10,28.32,15908.1,9.2917
54,02/01/23,17:11:10,28.20,15923.7,9.3016
55,02/01/23,17:16:10,28.01,15928.7,9.3047
56,02/01/23,17:21:10,27.89,15944.5,9.3148
57,02/01/23,17:26:10,27.80,15954.4,9.3210
58,02/01/23,17:31:10,27.72,15957.8,9.3232
59,02/01/23,17:36:10,27.65,15972.8,9.3327
60,02/01/23,17:41:10,27.56,15979.5,9.3369
61,02/01/23,17:46:10,27.50,16001.4,9.3508
62,02/01/23,17:51:10,27.42,16002.8,9.3517
63,02/01/23,17:56:10,27.35,16006.7,9.3542
64,02/01/23,18:01:10,27.34,16006.5,9.3541
65,02/01/23,18:06:10,27.28,16019.6,9.3623
66,02/01/23,18:11:10,27.20,16032.3,9.3704
67,02/01/23,18:16:10,27.14,16037.5,9.3737
68,02/01/23,18:21:10,27.06,16044.7,9.3783
69,02/01/23,18:26:10,27.00,16057.8,9.3866
70,02/01/23,18:31:10,26.91,16071.5,9.3953
71,02/01/23,18:36:10,26.78,16081.0,9.4013
72,02/01/23,18:41:10,26.35,794.3,0.3887
73,02/01/23,18:46:10,26.13,652.9,0.3177
74,02/01/23,18:51:10,25.99,684.5,0.3335
75,02/01/23,18:56:10,25.89,741.5,0.3621
76,02/01/23,19:01:10,25.81,816.4,0.3999
77,02/01/23,19:06:10,25.84,858.0,0.4209
78,02/01/23,19:11:10,25.81,919.8,0.4523
79,02/01/23,19:16:10,25.76,1045.9,0.5167
80,02/01/23,19:21:10,25.64,1101.7,0.5454
81,02/01/23,19:26:10,25.58,1220.4,0.6067
82,02/01/23,19:31:10,25.49,1209.5,0.6010
83,02/01/23,19:36:10,25.53,1315.0,0.6558
84,02/01/23,19:41:10,25.48,1451.0,0.7267
85,02/01/23,19:46:10,25.57,1055.3,0.5215
86,02/01/23,19:51:10,25.53,2573.1,1.3257
87,02/01/23,19:56:10,25.41,2685.5,1.3869
88,02/01/23,20:01:10,25.46,3636.4,1.9109
89,02/01/23,20:06:10,25.53,2770.9,1.4335
90,02/01/23,20:11:10,25.53,3291.1,1.7193
91,02/01/23,20:16:10,25.46,5041.4,2.7036
92,02/01/23,20:21:10,25.49,2508.6,1.2908
93,02/01/23,20:26:10,25.43,3882.2,2.0481
94,02/01/23,20:31:10,25.43,8209.6,4.5526
95,02/01/23,20:36:10,25.36,3890.9,2.0529
96,02/01/23,20:41:10,25.32,4387.1,2.3320
97,02/01/23,20:46:10,25.35,5159.4,2.7710
98,02/01/23,20:51:10,25.35,4771.9,2.5500
99,02/01/23,20:56:10,25.43,9330.0,5.2229
100,02/01/23,21:01:10,25.43,10970.3,6.2175
101,02/01/23,21:06:10,25.44,8504.6,4.7283
102,02/01/23,21:11:10,25.37,9733.2,5.4660
103,02/01/23,21:16:10,25.28,9863.2,5.5446
104,02/01/23,21:21:10,25.25,4765.9,2.5466
105,02/01/23,21:26:10,25.41,10321.6,5.8224
106,02/01/23,21:31:10,25.46,6687.9,3.6551
107,02/01/23,21:36:10,25.52,12453.5,7.1290
108,02/01/23,21:41:10,25.51,7162.9,3.9336
109,02/01/23,21:46:10,25.48,7992.2,4.4234
110,02/01/23,21:51:10,25.49,8411.8,4.6730
111,02/01/23,21:56:10,25.43,8486.3,4.7174
112,02/01/23,22:01:10,25.37,12876.3,7.3908
113,02/01/23,22:06:10,25.36,12768.3,7.3238
114,02/01/23,22:11:10,25.44,11425.6,6.4961
115,02/01/23,22:16:10,25.48,12545.5,7.1858
116,02/01/23,22:21:10,25.49,12456.2,7.1306
117,02/01/23,22:26:10,25.38,12455.1,7.1300
118,02/01/23,22:31:10,25.32,12219.1,6.9842
119,02/01/23,22:36:10,25.27,12685.0,7.2722
120,02/01/23,22:41:10,25.28,12530.7,7.1767
121,02/01/23,22:46:10,25.25,12298.6,7.0333
122,02/01/23,22:51:10,25.20,12057.3,6.8844
123,02/01/23,22:56:10,25.13,12168.9,6.9532
124,02/01/23,23:01:10,25.20,11703.0,6.6664
125,02/01/23,23:06:10,25.06,9248.9,5.1742
126,02/01/23,23:11:10,25.08,4772.5,2.5503
127,02/01/23,23:16:10,25.08,11352.2,6.4511
128,02/01/23,23:21:10,25.08,4069.3,2.1530
129,02/01/23,23:26:10,25.12,4880.1,2.6116
130,02/01/23,23:31:10,25.07,4359.6,2.3164
131,02/01/23,23:36:10,25.08,4732.5,2.5276
132,02/01/23,23:41:10,25.06,4737.7,2.5306
133,02/01/23,23:46:10,25.02,4653.3,2.4827
134,02/01/23,23:51:10,24.92,4492.4,2.3915
135,02/01/23,23:56:10,24.88,10552.8,5.9630
136,02/02/23,00:01:10,24.85,9585.8,5.3771
137,02/02/23,00:06:10,24.77,7636.6,4.2128
138,02/02/23,00:11:10,24.82,9086.0,5.0763
139,02/02/23,00:16:10,24.76,6217.4,3.3810
140,02/02/23,00:21:10,24.76,8068.2,4.4685
141,02/02/23,00:26:10,24.74,7370.8,4.0560
142,02/02/23,00:31:10,24.90,7004.6,3.8406
143,02/02/23,00:36:10,24.87,6339.2,3.4518
144,02/02/23,00:41:10,24.91,5950.2,3.2261
145,02/02/23,00:46:10,24.72,3253.4,1.6984
146,02/02/23,00:51:10,24.76,5868.8,3.1790
147,02/02/23,00:56:10,24.69,2929.6,1.5203
148,02/02/23,01:01:10,24.70,4818.7,2.5766
149,02/02/23,01:06:10,24.64,1672.9,0.8433
150,02/02/23,01:11:10,24.60,4834.4,2.5856
151,02/02/23,01:16:10,24.56,4399.1,2.3387
152,02/02/23,01:21:10,24.55,4390.9,2.3341
153,02/02/23,01:26:10,24.60,2711.0,1.4008
154,02/02/23,01:31:10,24.75,3931.5,2.0757
155,02/02/23,01:36:10,24.75,2524.0,1.2991
156,02/02/23,01:41:10,24.64,3504.4,1.8375
157,02/02/23,01:46:10,24.45,2501.7,1.2870
158,02/02/23,01:51:10,24.40,3219.8,1.6799
159,02/02/23,01:56:10,24.49,3013.1,1.5661
160,02/02/23,02:01:10,24.57,2783.3,1.4403
161,02/02/23,02:06:10,24.52,2599.4,1.3400
