

OBS-5+ S/N:S5266     Firmware Version: 1.50
Sensor                            Data Columns
 1  Pressure                       Mean & s.d.
 2  NEAR OBS                       Mean & s.d.
 6  ND Count                              Mean
 7  FD Count                              Mean
 9  Battery                               Mean

11:50:00 10/25/2022     9.86     0.00    26.59    52.55  33240.96  33909.63      4.7 
11:55:00 10/25/2022     9.87     0.00     0.47     0.03  32752.17  32757.53      4.7 
12:00:00 10/25/2022     9.87     0.00     0.47     0.02  32752.20  32758.30      4.7 
12:05:00 10/25/2022     9.87     0.00     0.49     0.03  32752.43  32758.90      4.7 
12:10:00 10/25/2022     9.87     0.00     0.50     0.03  32752.70  32759.77      4.7 
12:15:00 10/25/2022     9.87     0.00     0.50     0.03  32752.63  32760.03      4.7 
12:20:00 10/25/2022     9.87     0.00     0.51     0.02  32752.93  32760.63      4.7 
12:25:00 10/25/2022     9.86     0.00     0.51     0.01  32752.97  32761.27      4.7 
12:30:00 10/25/2022     9.86     0.00     0.51     0.01  32752.97  32761.60      4.7 
12:35:00 10/25/2022     9.86     0.00     0.52     0.01  32753.03  32761.93      4.7 
12:40:00 10/25/2022     9.86     0.00     0.52     0.01  32753.03  32762.23      4.7 
12:45:00 10/25/2022     9.86     0.00     0.52     0.00  32753.00  32761.97      4.7 
12:50:00 10/25/2022     9.86     0.00     0.51     0.01  32752.97  32762.07      4.7 
12:55:00 10/25/2022     9.86     0.00     0.51     0.01  32752.97  32762.20      4.7 
13:00:00 10/25/2022     9.86     0.00     0.53     0.03  32753.27  32762.53      4.7 
13:05:00 10/25/2022     9.86     0.00     0.53     0.02  32753.17  32763.33      4.7 
13:10:00 10/25/2022     9.86     0.00     0.52     0.01  32753.03  32762.57      4.7 
13:15:00 10/25/2022     9.86     0.00     0.52     0.01  32753.07  32762.70      4.7 
13:20:00 10/25/2022     9.86     0.00     0.53     0.02  32753.20  32762.93      4.7 
13:25:00 10/25/2022     9.86     0.00     0.52     0.01  32753.07  32763.30      4.6 
13:30:00 10/25/2022     9.86     0.00     0.52     0.02  32753.10  32763.13      4.6 
13:35:00 10/25/2022     9.86     0.00     0.54     0.03  32753.33  32763.90      4.6 
13:40:00 10/25/2022     9.86     0.00     0.54     0.03  32753.37  32763.93      4.6 
13:45:00 10/25/2022     9.86     0.00     0.54     0.03  32753.40  32764.43      4.6 
13:50:00 10/25/2022     9.86     0.00     0.54     0.03  32753.50  32764.27      4.6 
13:55:00 10/25/2022     9.86     0.00     0.55     0.03  32753.60  32764.70      4.6 
14:00:00 10/25/2022     9.86     0.00     0.55     0.03  32753.63  32765.00      4.6 
14:05:00 10/25/2022     9.85     0.00     0.54     0.03  32753.50  32764.83      4.6 
14:10:00 10/25/2022     9.85     0.00     2.54     7.94  32790.37  33589.13      4.6 
14:15:00 10/25/2022     9.85     0.00   141.63   742.85  33574.90  35876.46      4.6 
14:20:00 10/25/2022     9.85     0.00    10.97    41.47  32946.57  34977.57      4.6 
14:25:00 10/25/2022     9.85     0.00  1208.03  2836.69  41004.07  34287.63      4.6 
14:30:00 10/25/2022     9.81     0.02    13.49    55.75  32994.93  33085.77      4.6 
14:35:00 10/25/2022     9.81     0.00     0.00     0.02  32743.13  32802.93      4.6 
14:40:00 10/25/2022     9.81     0.00     0.00     0.02  32743.20  32803.17      4.6 
14:45:00 10/25/2022     9.81     0.00     0.00     0.02  32743.23  32803.07      4.6 
14:50:00 10/25/2022     9.80     0.00     0.00     0.03  32743.47  32803.20      4.6 
14:55:00 10/25/2022     9.77     0.01   354.82   207.20  38422.04  33873.33      4.6 
15:00:00 10/25/2022     9.87     0.02   465.79    20.69  40231.07  38051.27      4.6 
15:05:00 10/25/2022     9.84     0.02   340.85    45.90  38661.17  38582.50      4.6 
15:10:00 10/25/2022     9.93     0.03   495.26    70.17  40519.80  37868.13      4.6 
15:15:00 10/25/2022     9.98     0.02   424.36    62.65  39718.40  38696.04      4.6 
15:20:00 10/25/2022     9.98     0.02   374.25    78.52  39070.50  38687.77      4.6 
15:25:00 10/25/2022     9.99     0.03   317.60    57.87  38318.63  38383.67      4.6 
15:30:00 10/25/2022    10.02     0.03   477.60    91.27  40295.23  37868.00      4.6 
15:35:00 10/25/2022    10.08     0.03   334.97    31.92  38592.00  38659.00      4.6 
15:40:00 10/25/2022    10.12     0.04   454.75    40.46  40095.70  38527.04      4.6 
15:45:00 10/25/2022    10.17     0.04   515.66    54.88  40747.30  37665.40      4.6 
15:50:00 10/25/2022    10.24     0.06   526.19    69.24  40842.10  36733.77      4.6 
15:55:00 10/25/2022    10.31     0.04   394.95    76.53  39338.43  38332.63      4.6 
16:00:00 10/25/2022    10.26     0.04   471.99    64.51  40267.13  38053.54      4.6 
