SP2T 10m SI - CAY2 - 33110 sn:33110 Sonde standard_33110_20220602_163303_H23cm.txt
Cadence d'enregistrement	0,5	s 
  VOIE:1 Profondeur 10m Unité=m
0,040	20/05/2022	09:46:08:940
0,040	20/05/2022	09:46:09:440
0,040	20/05/2022	09:46:09:940
0,040	20/05/2022	09:46:10:440
0,040	20/05/2022	09:46:10:940
0,040	20/05/2022	09:46:11:440
0,040	20/05/2022	09:46:11:940
0,040	20/05/2022	09:46:12:440
0,040	20/05/2022	09:46:12:940
0,040	20/05/2022	09:46:13:440
0,040	20/05/2022	09:46:13:940
0,040	20/05/2022	09:46:14:440
0,040	20/05/2022	09:46:14:940
0,040	20/05/2022	09:46:15:440
0,040	20/05/2022	09:46:15:940
0,040	20/05/2022	09:46:16:440
0,040	20/05/2022	09:46:16:940
0,040	20/05/2022	09:46:17:440
0,040	20/05/2022	09:46:17:940
0,040	20/05/2022	09:46:18:440
0,040	20/05/2022	09:46:18:940
0,040	20/05/2022	09:46:19:440
0,040	20/05/2022	09:46:19:940
0,040	20/05/2022	09:46:20:440
0,040	20/05/2022	09:46:20:940
0,040	20/05/2022	09:46:21:440
0,040	20/05/2022	09:46:21:940
0,040	20/05/2022	09:46:22:440
0,040	20/05/2022	09:46:22:940
0,040	20/05/2022	09:46:23:440
0,040	20/05/2022	09:46:23:940
0,040	20/05/2022	09:46:24:440
0,040	20/05/2022	09:46:24:940
0,040	20/05/2022	09:46:25:440
0,040	20/05/2022	09:46:25:940
0,040	20/05/2022	09:46:26:440
0,040	20/05/2022	09:46:26:940
0,040	20/05/2022	09:46:27:440
0,040	20/05/2022	09:46:27:940
0,040	20/05/2022	09:46:28:440
0,040	20/05/2022	09:46:28:940
0,034	20/05/2022	09:46:29:440
0,034	20/05/2022	09:46:29:940
0,034	20/05/2022	09:46:30:440
0,034	20/05/2022	09:46:30:940
0,034	20/05/2022	09:46:31:440
0,034	20/05/2022	09:46:31:940
0,034	20/05/2022	09:46:32:440
0,034	20/05/2022	09:46:32:940
0,034	20/05/2022	09:46:33:440
0,034	20/05/2022	09:46:33:940
0,034	20/05/2022	09:46:34:440
